contractSymbol,strike,lastPrice,bid,ask,impliedVolatility,expiry,option_type,market_price,spot_price,sigma,ticker,bs_price,mispricing,mispricing_pct
AAPL260807C00375000,375.0,0.28,0.18,0.29,0.3410710424804687,2026-08-07,call,0.235,333.0199890136719,0.2480367173288849,AAPL,0.02273526537792314,-0.21226473462207684,-90.32541898811782
AAPL260807C00380000,380.0,0.16,0.14,0.24,0.3603579589843749,2026-08-07,call,0.19,333.0199890136719,0.2480367173288849,AAPL,0.00861477299895641,-0.1813852270010436,-95.46590894791768
AAPL260807C00385000,385.0,0.06,0.05,0.17,0.36914693359375,2026-08-07,call,0.11,333.0199890136719,0.2480367173288849,AAPL,0.003068755227020714,-0.10693124477297929,-97.21022252089026
AAPL260807C00390000,390.0,0.06,0.05,0.14,0.3857483300781249,2026-08-07,call,0.095,333.0199890136719,0.2480367173288849,AAPL,0.0010291725724903694,-0.09397082742750963,-98.91666045001014
AAPL260807C00395000,395.0,0.06,0.01,0.14,0.41211525390625,2026-08-07,call,0.075,333.0199890136719,0.2480367173288849,AAPL,0.00032546038673493885,-0.07467453961326506,-99.56605281768675
AAPL260807C00400000,400.0,0.05,0.01,0.05,0.3847717773437499,2026-08-07,call,0.03,333.0199890136719,0.2480367173288849,AAPL,9.720677073124344e-05,-0.029902793229268754,-99.67597743089584
AAPL260803P00260000,260.0,0.11,0.01,0.15,0.6543003320312502,2026-08-03,put,0.08,333.0199890136719,0.2480367173288849,AAPL,1.004418506560786e-11,-0.07999999998995581,-99.99999998744477
AAPL260803P00270000,270.0,0.1,0.01,0.19,0.5800823242187501,2026-08-03,put,0.1,333.0199890136719,0.2480367173288849,AAPL,8.609665237869746e-09,-0.09999999139033476,-99.99999139033476
AAPL260803P00275000,275.0,0.18,0.05,0.23,0.56055126953125,2026-08-03,put,0.14,333.0199890136719,0.2480367173288849,AAPL,1.595720802595712e-07,-0.13999984042791974,-99.99988601994266
AAPL260803P00280000,280.0,0.18,0.1,0.26,0.5336960693359375,2026-08-03,put,0.18,333.0199890136719,0.2480367173288849,AAPL,2.230765816266559e-06,-0.17999776923418373,-99.99876068565763
AAPL260803P00285000,285.0,0.48,0.14,0.32,0.50586431640625,2026-08-03,put,0.23,333.0199890136719,0.2480367173288849,AAPL,2.3904768231330052e-05,-0.22997609523176868,-99.98960662250812
